N,B,dtype,iters,tag,driver,lower,deterministic_mode,tol,max_sweeps,sort_eig,k_request,which,il,iu,chunk_size,time_ms,time_per_matrix_ms,throughput_mat_per_s,nonzero_info,max_info,k_solved_min,k_solved_max,status,error
16,16,float32,8,syevd_vec_uplo1_det0,syevd,True,0,1e-05,20,True,16,largest,1,-1,16,1.8307360410690308,0.11442100256681442,8739.654238006393,0,0,16,16,ok,
16,16,float32,8,syevd_vec_uplo1_det1,syevd,True,1,1e-05,20,True,16,largest,1,-1,16,1.8152040243148804,0.11345025151968002,8814.436165675064,0,0,16,16,ok,
16,16,float32,8,syevd_vec_uplo1_det2,syevd,True,2,1e-05,20,True,16,largest,1,-1,16,1.8118679523468018,0.11324174702167511,8830.665600810577,0,0,16,16,ok,
16,16,float32,8,syevd_vec_uplo0_det0,syevd,False,0,1e-05,20,True,16,largest,1,-1,16,1.8449039459228516,0.11530649662017822,8672.538229081913,0,0,16,16,ok,
16,16,float32,8,syevd_vec_uplo0_det1,syevd,False,1,1e-05,20,True,16,largest,1,-1,16,1.8436360359191895,0.11522725224494934,8678.502528848006,0,0,16,16,ok,
16,16,float32,8,syevd_vec_uplo0_det2,syevd,False,2,1e-05,20,True,16,largest,1,-1,16,1.843291997909546,0.11520574986934662,8680.122312767266,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-05_sw20,syevj_batched,True,0,1e-05,20,True,16,largest,1,-1,16,0.06468000262975693,0.004042500164359808,247371.66588547692,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-05_sw50,syevj_batched,True,0,1e-05,50,True,16,largest,1,-1,16,0.06229599937796593,0.0038934999611228704,256838.32284195113,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-05_sw100,syevj_batched,True,0,1e-05,100,True,16,largest,1,-1,16,0.06332799792289734,0.003957999870181084,252652.86326405278,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-06_sw20,syevj_batched,True,0,1e-06,20,True,16,largest,1,-1,16,0.06392800062894821,0.003995500039309263,250281.5643002418,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-06_sw50,syevj_batched,True,0,1e-06,50,True,16,largest,1,-1,16,0.06295999884605408,0.00393499992787838,254129.61075685878,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-06_sw100,syevj_batched,True,0,1e-06,100,True,16,largest,1,-1,16,0.06256400048732758,0.0039102500304579735,255738.12216884727,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-07_sw20,syevj_batched,True,0,1e-07,20,True,16,largest,1,-1,16,0.09798400104045868,0.0061240000650286674,163291.9643013294,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-07_sw50,syevj_batched,True,0,1e-07,50,True,16,largest,1,-1,16,0.16632400453090668,0.010395250283181667,96197.78002054326,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo1_tol1e-07_sw100,syevj_batched,True,0,1e-07,100,True,16,largest,1,-1,16,0.28022000193595886,0.01751375012099743,57097.99403847203,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo0_tol1e-05_sw20,syevj_batched,False,0,1e-05,20,True,16,largest,1,-1,16,0.06253200024366379,0.003908250015228987,255868.9940774962,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo0_tol1e-05_sw50,syevj_batched,False,0,1e-05,50,True,16,largest,1,-1,16,0.061344001442193985,0.003834000090137124,260824.1983542141,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo0_tol1e-05_sw100,syevj_batched,False,0,1e-05,100,True,16,largest,1,-1,16,0.06124399974942207,0.0038277499843388796,261250.08270954713,0,0,16,16,ok,
16,16,float32,8,syevj_batched_vec_uplo0_tol1e-06_sw20,syevj_batched,False,0,1e-06,20,True,16,largest,1,-1,16,0.06314799934625626,0.003946749959141016,253373.0310641831,0,0,16,16,ok,
